habitat,species
Grassland,Baiomys taylori
Grassland,Chaetodipus hispidus
Grassland,Dipodomys ordii
Grassland,Dipodomys spectabilis
Grassland,Perognathus flavus
Grassland,Peromyscus leucopus
Grassland,Peromyscus maniculatus
Grassland,Reithrodontomys fulvescens
Grassland,Reithrodontomys megalotis
Grassland,Reithrodontomys montanus
Grassland,Sigmodon fulviventer
Grassland,Sigmodon hispidus
Grassland,Sigmodon ochrognathus
Shrubland,Chaetodipus baileyi
Shrubland,Chaetodipus intermedius
Shrubland,Chaetodipus penicillatus
Shrubland,Dipodomys merriami
Shrubland,Peromyscus eremicus
